iter	MultiRMSE
0	345.0889447
1	337.7161529
2	331.3822575
3	325.1742714
4	318.2833455
5	312.8368747
6	307.3660584
7	302.3230985
8	295.6647442
9	290.5351376
10	285.4426143
11	280.7490998
12	276.2805779
13	272.0103699
14	267.9725729
15	262.6901303
16	258.423148
17	255.0921738
18	251.6493591
19	248.2561678
20	243.9855225
21	240.7175143
22	236.8686086
23	233.7774134
24	230.9739749
25	228.1234735
26	225.3254396
27	222.6384224
28	219.7957991
29	217.4704865
30	214.842647
31	212.880744
32	211.0618643
33	208.5361676
34	206.3965169
35	204.4329375
36	202.630605
37	200.8308863
38	198.7452674
39	198.0927593
40	196.8276969
41	194.8264626
42	193.4031093
43	191.9076392
44	190.6930345
45	189.0594967
46	187.4270715
47	186.6911626
48	184.8370803
49	183.0980207
50	181.1738917
51	180.1985032
52	178.7031187
53	176.7334403
54	175.4055577
55	174.0005883
56	172.8096884
57	171.8477524
58	170.7552459
59	169.5731945
60	168.1451879
61	167.1534004
62	166.161624
63	165.0033069
64	163.8374266
65	162.3832026
66	161.1593388
67	159.6991147
68	158.6246971
69	157.6891916
70	156.6669124
71	155.9291015
72	155.1365443
73	154.229552
74	153.5729461
75	152.4020418
76	151.2691097
77	150.3678487
78	149.1405603
79	148.493624
80	147.4300511
81	146.4179806
82	145.3699483
83	144.4722717
84	143.7342456
85	143.0560532
86	142.5999675
87	141.9529105
88	141.0911158
89	140.526475
90	139.7923398
91	138.8664227
92	137.7452822
93	136.9679566
94	136.485083
95	135.6034226
96	134.8181856
97	133.8876039
98	132.6842771
99	132.142936
100	131.3236402
101	130.2998592
102	129.1574111
103	128.2748276
104	127.2479377
105	126.356155
106	125.4921029
107	124.7874133
108	123.8835128
109	123.1782493
110	122.6418124
111	121.8198038
112	121.1052464
113	120.506219
114	119.9909688
115	119.3034506
116	118.3506885
117	117.4988494
118	116.8747919
119	116.2786685
120	115.5923922
121	114.9405403
122	114.4642424
123	113.6227712
124	112.7172306
125	112.0026917
126	111.2066665
127	110.2640732
128	109.4868385
129	109.1339035
130	108.2905221
131	107.4911778
132	106.7827003
133	106.1057324
134	105.3245329
135	104.6019881
136	103.8632106
137	103.0631353
138	102.5356888
139	101.6721236
140	100.8035074
141	100.2014963
142	99.54953075
143	98.88979211
144	98.13443045
145	97.61671295
146	96.86307195
147	96.16468591
148	95.70915649
149	95.23417606
150	94.72365252
151	94.25150511
152	93.4462035
153	92.67859941
154	91.9523508
155	91.26919614
156	90.60418147
157	90.30356394
158	89.48579937
159	89.03436425
160	88.46387188
161	87.63541988
162	86.81097131
163	86.26641392
164	85.67299126
165	85.15938576
166	84.78599543
167	84.12948973
168	83.4833312
169	82.75432936
170	82.23389337
171	81.52048116
172	80.72943166
173	80.1845466
174	79.62139715
175	79.42759908
176	78.92770854
177	78.32797094
178	77.59536464
179	76.89094333
180	76.378001
181	75.68276167
182	75.15579505
183	74.7050298
