iter	Passed	Remaining
0	3	1310
1	7	1561
2	10	1454
3	14	1410
4	18	1480
5	22	1451
6	25	1437
7	29	1432
8	30	1342
9	34	1345
10	37	1340
11	42	1372
12	45	1368
13	49	1363
14	53	1381
15	57	1379
16	61	1380
17	65	1396
18	69	1386
19	73	1388
20	76	1380
21	79	1371
22	83	1362
23	86	1354
24	90	1354
25	93	1347
26	97	1340
27	100	1333
28	103	1326
29	107	1319
30	110	1316
31	114	1311
32	117	1304
33	120	1298
34	125	1304
35	128	1301
36	132	1297
37	135	1291
38	138	1286
39	142	1282
40	143	1256
41	146	1250
42	150	1246
43	154	1250
44	157	1246
45	161	1243
46	164	1239
47	168	1235
48	171	1230
49	175	1227
50	179	1225
51	182	1221
52	186	1218
53	189	1213
54	194	1222
55	198	1221
56	203	1222
57	206	1218
58	211	1222
59	214	1218
60	218	1214
61	221	1209
62	225	1204
63	228	1199
64	231	1195
65	235	1190
66	239	1187
67	242	1183
68	246	1180
69	249	1175
70	252	1171
71	256	1167
72	259	1163
73	263	1159
74	266	1154
75	270	1151
76	273	1147
77	277	1143
78	280	1140
79	284	1136
80	287	1133
81	291	1129
82	295	1129
83	299	1125
84	302	1121
85	306	1118
86	309	1114
87	313	1110
88	316	1106
89	320	1102
90	323	1098
91	326	1094
92	330	1090
93	333	1086
94	337	1082
95	340	1079
96	344	1075
97	347	1071
98	351	1067
99	354	1064
100	358	1061
101	362	1058
102	365	1054
103	369	1050
104	372	1046
105	375	1042
106	379	1038
107	382	1034
108	386	1031
109	389	1027
110	393	1024
111	396	1020
112	400	1017
113	403	1013
114	407	1010
115	410	1006
116	414	1002
117	417	998
118	421	994
119	424	990
120	428	987
121	431	983
122	435	980
123	440	979
124	444	977
125	447	973
126	450	968
127	454	965
128	457	962
129	461	958
130	464	954
131	468	951
132	471	947
133	475	943
134	478	939
135	482	935
136	485	931
137	488	927
138	491	923
139	495	919
140	498	916
141	501	912
142	505	908
143	508	904
144	511	900
145	515	896
146	518	892
147	521	888
148	525	884
149	528	880
150	531	877
151	535	873
152	538	869
153	541	865
154	545	861
155	548	858
156	551	854
157	555	850
158	558	846
159	561	842
160	565	838
161	568	835
162	571	831
163	575	827
164	578	824
165	581	820
166	585	816
167	589	814
168	593	810
169	596	807
170	600	804
171	604	801
172	607	797
173	611	794
174	615	790
175	616	784
176	620	781
177	623	777
178	626	773
179	630	770
180	634	767
181	637	763
182	640	759
183	644	756
184	647	752
185	650	748
186	654	745
187	657	741
188	660	737
189	664	733
190	667	730
191	670	726
192	675	724
193	678	720
194	682	717
195	685	713
196	689	710
197	692	706
198	696	703
199	699	699
200	702	695
201	705	691
202	709	688
203	713	685
204	716	681
205	720	678
206	724	675
207	727	671
208	730	667
209	734	664
210	737	661
211	741	657
212	744	653
213	748	650
214	751	646
215	755	643
216	758	639
217	762	636
218	765	632
219	769	629
220	772	625
221	776	622
222	779	618
223	782	615
224	786	611
225	789	607
226	793	604
227	796	600
228	799	597
229	802	593
230	806	589
231	809	586
232	812	582
233	816	579
234	819	575
235	822	571
236	826	568
237	829	564
238	832	561
239	836	557
240	840	554
241	843	550
242	847	547
243	850	543
244	853	540
245	856	536
246	860	532
247	863	529
248	867	525
249	870	522
250	873	518
251	877	515
252	880	511
253	883	508
254	887	504
255	890	500
256	894	497
257	897	494
258	900	490
259	904	486
260	907	483
261	910	479
262	914	476
263	917	472
264	921	469
265	924	465
266	927	462
267	931	458
268	934	455
269	938	451
270	941	448
271	944	444
272	947	441
273	951	437
274	954	433
275	957	430
276	960	426
277	964	423
278	967	419
279	971	416
280	974	412
281	978	409
282	981	405
283	984	402
284	987	398
285	991	395
286	995	391
287	998	388
288	1002	384
289	1005	381
290	1008	377
291	1012	374
292	1016	371
293	1019	367
294	1022	364
295	1026	360
296	1030	357
297	1033	353
298	1037	350
299	1040	346
300	1044	343
301	1047	339
302	1051	336
303	1054	333
304	1058	329
305	1061	326
306	1065	322
307	1069	319
308	1073	316
309	1076	312
310	1079	309
311	1083	305
312	1087	302
313	1090	298
314	1094	295
315	1097	291
316	1100	288
317	1104	284
318	1108	281
319	1111	277
320	1115	274
321	1118	270
322	1121	267
323	1125	263
324	1128	260
325	1132	257
326	1135	253
327	1139	250
328	1142	246
329	1146	243
330	1150	239
331	1154	236
332	1157	232
333	1160	229
334	1164	225
335	1167	222
336	1171	218
337	1174	215
338	1178	212
339	1182	208
340	1185	205
341	1188	201
342	1192	198
343	1195	194
344	1199	191
345	1203	187
346	1206	184
347	1210	180
348	1213	177
349	1216	173
350	1220	170
351	1223	166
352	1227	163
353	1230	159
354	1234	156
355	1237	153
356	1241	149
357	1245	146
358	1248	142
359	1252	139
360	1255	135
361	1259	132
362	1262	128
363	1266	125
364	1269	121
365	1273	118
366	1276	114
367	1280	111
368	1283	107
369	1287	104
370	1290	100
371	1294	97
372	1297	93
373	1301	90
374	1304	86
375	1309	83
376	1312	80
377	1316	76
378	1319	73
379	1322	69
380	1326	66
381	1329	62
382	1332	59
383	1336	55
384	1339	52
385	1342	48
386	1346	45
387	1349	41
388	1353	38
389	1356	34
390	1360	31
391	1363	27
392	1366	24
393	1370	20
394	1373	17
395	1377	13
396	1380	10
397	1384	6
398	1387	3
399	1390	0
