timestamp,model,graph,features,graph_features,runs,target,mae_mean,mae_std,mae_stderr,r2_mean,r2_std,status,error
2026-01-12T12:04:20.032179,xgboost,euro28,basic,yes,20,highestSlot,8.151,0.924,0.207,0.144,0.157,success,
2026-01-12T12:04:20.032258,xgboost,euro28,basic,yes,20,avgHighestSlot,3.341,0.477,0.107,0.454,0.135,success,
2026-01-12T12:04:20.032293,xgboost,euro28,basic,yes,20,sumOfSlots,96.822,20.332,4.546,0.704,0.09,success,
2026-01-12T12:04:20.032328,xgboost,euro28,basic,yes,20,avgActiveTransceivers,3.15,0.499,0.112,0.552,0.121,success,
2026-01-12T12:04:37.471945,xgboost,euro28,basic,no,20,highestSlot,10.538,1.65,0.369,-0.475,0.386,success,
2026-01-12T12:04:37.472015,xgboost,euro28,basic,no,20,avgHighestSlot,5.054,0.641,0.143,-0.275,0.357,success,
2026-01-12T12:04:37.472045,xgboost,euro28,basic,no,20,sumOfSlots,179.326,21.037,4.704,-0.023,0.249,success,
2026-01-12T12:04:37.472073,xgboost,euro28,basic,no,20,avgActiveTransceivers,3.104,0.56,0.125,0.586,0.143,success,
2026-01-12T12:05:11.547339,xgboost,euro28,topology,yes,20,highestSlot,8.482,0.629,0.141,0.029,0.188,success,
2026-01-12T12:05:11.547457,xgboost,euro28,topology,yes,20,avgHighestSlot,3.807,0.496,0.111,0.304,0.142,success,
2026-01-12T12:05:11.547489,xgboost,euro28,topology,yes,20,sumOfSlots,143.369,24.399,5.456,0.353,0.154,success,
2026-01-12T12:05:11.547518,xgboost,euro28,topology,yes,20,avgActiveTransceivers,5.302,0.977,0.219,-0.257,0.354,success,
2026-01-12T12:05:30.601795,xgboost,euro28,topology,no,20,highestSlot,10.113,0.887,0.198,-0.371,0.322,success,
2026-01-12T12:05:30.601863,xgboost,euro28,topology,no,20,avgHighestSlot,5.07,0.831,0.186,-0.241,0.29,success,
2026-01-12T12:05:30.601893,xgboost,euro28,topology,no,20,sumOfSlots,197.834,36.055,8.062,-0.271,0.296,success,
2026-01-12T12:05:30.601921,xgboost,euro28,topology,no,20,avgActiveTransceivers,5.818,1.108,0.248,-0.542,0.637,success,
2026-01-12T12:06:03.323717,xgboost,euro28,distribution,yes,20,highestSlot,7.967,0.732,0.164,0.149,0.151,success,
2026-01-12T12:06:03.323804,xgboost,euro28,distribution,yes,20,avgHighestSlot,3.347,0.394,0.088,0.473,0.102,success,
2026-01-12T12:06:03.323846,xgboost,euro28,distribution,yes,20,sumOfSlots,104.878,15.6,3.488,0.663,0.082,success,
2026-01-12T12:06:03.323884,xgboost,euro28,distribution,yes,20,avgActiveTransceivers,2.965,0.528,0.118,0.601,0.136,success,
2026-01-12T12:06:23.472493,xgboost,euro28,distribution,no,20,highestSlot,9.569,1.187,0.265,-0.268,0.296,success,
