timestamp,model,graph,features,graph_features,runs,target,mae_mean,mae_std,mae_stderr,r2_mean,r2_std,smape_mean,smape_std,status,error
2026-01-13T19:09:51.953123,xgboost,euro28,basic,yes,20,highestSlot,8.151,0.924,0.207,0.144,0.157,0.083,0.009,success,
2026-01-13T19:09:51.953161,xgboost,euro28,basic,yes,20,avgHighestSlot,3.341,0.477,0.107,0.454,0.135,0.05,0.007,success,
2026-01-13T19:09:51.953175,xgboost,euro28,basic,yes,20,sumOfSlots,96.822,20.332,4.546,0.704,0.09,0.026,0.005,success,
2026-01-13T19:09:51.953187,xgboost,euro28,basic,yes,20,avgActiveTransceivers,3.15,0.499,0.112,0.552,0.121,0.016,0.002,success,
2026-01-13T19:10:09.387286,xgboost,euro28,basic,no,20,highestSlot,10.538,1.65,0.369,-0.475,0.386,0.107,0.017,success,
2026-01-13T19:10:09.387362,xgboost,euro28,basic,no,20,avgHighestSlot,5.054,0.641,0.143,-0.275,0.357,0.076,0.01,success,
2026-01-13T19:10:09.387397,xgboost,euro28,basic,no,20,sumOfSlots,179.326,21.037,4.704,-0.023,0.249,0.049,0.006,success,
2026-01-13T19:10:09.387429,xgboost,euro28,basic,no,20,avgActiveTransceivers,3.104,0.56,0.125,0.586,0.143,0.015,0.003,success,
2026-01-13T19:10:42.120231,xgboost,euro28,topology,yes,20,highestSlot,8.482,0.629,0.141,0.029,0.188,0.086,0.006,success,
2026-01-13T19:10:42.120335,xgboost,euro28,topology,yes,20,avgHighestSlot,3.807,0.496,0.111,0.304,0.142,0.058,0.007,success,
2026-01-13T19:10:42.120388,xgboost,euro28,topology,yes,20,sumOfSlots,143.369,24.399,5.456,0.353,0.154,0.039,0.006,success,
2026-01-13T19:10:42.120440,xgboost,euro28,topology,yes,20,avgActiveTransceivers,5.302,0.977,0.219,-0.257,0.354,0.026,0.005,success,
2026-01-13T19:11:07.935861,xgboost,euro28,topology,no,20,highestSlot,10.113,0.887,0.198,-0.371,0.322,0.103,0.009,success,
2026-01-13T19:11:07.935941,xgboost,euro28,topology,no,20,avgHighestSlot,5.07,0.831,0.186,-0.241,0.29,0.077,0.012,success,
2026-01-13T19:11:07.935970,xgboost,euro28,topology,no,20,sumOfSlots,197.834,36.055,8.062,-0.271,0.296,0.054,0.01,success,
2026-01-13T19:11:07.936008,xgboost,euro28,topology,no,20,avgActiveTransceivers,5.818,1.108,0.248,-0.542,0.637,0.029,0.005,success,
2026-01-13T19:11:38.976118,xgboost,euro28,distribution,yes,20,highestSlot,7.967,0.732,0.164,0.149,0.151,0.081,0.007,success,
2026-01-13T19:11:38.976195,xgboost,euro28,distribution,yes,20,avgHighestSlot,3.347,0.394,0.088,0.473,0.102,0.051,0.006,success,
2026-01-13T19:11:38.976230,xgboost,euro28,distribution,yes,20,sumOfSlots,104.878,15.6,3.488,0.663,0.082,0.028,0.004,success,
2026-01-13T19:11:38.976262,xgboost,euro28,distribution,yes,20,avgActiveTransceivers,2.965,0.528,0.118,0.601,0.136,0.015,0.003,success,
2026-01-13T19:11:54.162301,xgboost,euro28,distribution,no,20,highestSlot,9.569,1.187,0.265,-0.268,0.296,0.097,0.012,success,
2026-01-13T19:11:54.162377,xgboost,euro28,distribution,no,20,avgHighestSlot,4.64,0.599,0.134,-0.056,0.251,0.07,0.009,success,
2026-01-13T19:11:54.162412,xgboost,euro28,distribution,no,20,sumOfSlots,174.616,24.361,5.447,0.066,0.277,0.048,0.006,success,
2026-01-13T19:11:54.162443,xgboost,euro28,distribution,no,20,avgActiveTransceivers,3.011,0.409,0.091,0.561,0.168,0.015,0.002,success,
2026-01-13T19:12:23.070317,xgboost,euro28,traffic,yes,20,highestSlot,8.393,0.834,0.187,0.08,0.172,0.086,0.008,success,
2026-01-13T19:12:23.070412,xgboost,euro28,traffic,yes,20,avgHighestSlot,3.694,0.471,0.105,0.336,0.143,0.056,0.007,success,
2026-01-13T19:12:23.070463,xgboost,euro28,traffic,yes,20,sumOfSlots,130.733,25.298,5.657,0.472,0.138,0.035,0.007,success,
2026-01-13T19:12:23.070541,xgboost,euro28,traffic,yes,20,avgActiveTransceivers,3.964,0.594,0.133,0.235,0.403,0.02,0.003,success,
2026-01-13T19:12:42.315008,xgboost,euro28,traffic,no,20,highestSlot,9.687,1.118,0.25,-0.202,0.228,0.1,0.012,success,
2026-01-13T19:12:42.315067,xgboost,euro28,traffic,no,20,avgHighestSlot,4.924,0.56,0.125,-0.123,0.168,0.075,0.008,success,
2026-01-13T19:12:42.315094,xgboost,euro28,traffic,no,20,sumOfSlots,183.272,27.698,6.194,-0.053,0.332,0.05,0.007,success,
2026-01-13T19:12:42.315119,xgboost,euro28,traffic,no,20,avgActiveTransceivers,3.725,0.69,0.154,0.308,0.463,0.018,0.003,success,
2026-01-13T19:13:18.988018,xgboost,euro28,all,yes,20,highestSlot,8.006,0.817,0.183,0.162,0.163,0.082,0.008,success,
2026-01-13T19:13:18.988107,xgboost,euro28,all,yes,20,avgHighestSlot,3.351,0.486,0.109,0.464,0.131,0.051,0.007,success,
2026-01-13T19:13:18.988145,xgboost,euro28,all,yes,20,sumOfSlots,98.824,17.098,3.823,0.69,0.078,0.027,0.004,success,
2026-01-13T19:13:18.988177,xgboost,euro28,all,yes,20,avgActiveTransceivers,2.782,0.512,0.115,0.65,0.135,0.014,0.002,success,
2026-01-13T19:14:00.514370,xgboost,euro28,all,no,20,highestSlot,9.466,0.99,0.221,-0.191,0.289,0.097,0.01,success,
2026-01-13T19:14:00.514441,xgboost,euro28,all,no,20,avgHighestSlot,4.777,0.606,0.136,-0.087,0.233,0.072,0.009,success,
2026-01-13T19:14:00.514477,xgboost,euro28,all,no,20,sumOfSlots,178.065,27.821,6.221,0.052,0.288,0.048,0.007,success,
2026-01-13T19:14:00.514539,xgboost,euro28,all,no,20,avgActiveTransceivers,2.88,0.48,0.107,0.619,0.17,0.014,0.002,success,
2026-01-13T19:14:25.722107,xgboost,us26,basic,yes,20,highestSlot,19.589,2.264,0.506,-0.056,0.328,0.133,0.014,success,
2026-01-13T19:14:25.722181,xgboost,us26,basic,yes,20,avgHighestSlot,4.335,0.687,0.154,0.505,0.124,0.065,0.01,success,
2026-01-13T19:14:25.722215,xgboost,us26,basic,yes,20,sumOfSlots,72.082,11.732,2.623,0.813,0.063,0.023,0.004,success,
2026-01-13T19:14:25.722247,xgboost,us26,basic,yes,20,avgActiveTransceivers,3.571,0.535,0.12,0.517,0.165,0.018,0.003,success,
2026-01-13T19:14:52.811974,xgboost,us26,basic,no,20,highestSlot,21.785,3.42,0.765,-0.358,0.32,0.147,0.023,success,
2026-01-13T19:14:52.812048,xgboost,us26,basic,no,20,avgHighestSlot,6.464,1.111,0.249,-0.239,0.273,0.098,0.016,success,
2026-01-13T19:14:52.812083,xgboost,us26,basic,no,20,sumOfSlots,166.191,26.86,6.006,-0.021,0.227,0.053,0.008,success,
2026-01-13T19:14:52.812115,xgboost,us26,basic,no,20,avgActiveTransceivers,3.482,0.556,0.124,0.529,0.18,0.017,0.003,success,
2026-01-13T19:15:23.353251,xgboost,us26,topology,yes,20,highestSlot,19.944,2.696,0.603,-0.075,0.355,0.135,0.018,success,
2026-01-13T19:15:23.353326,xgboost,us26,topology,yes,20,avgHighestSlot,4.397,0.579,0.13,0.487,0.096,0.066,0.008,success,
2026-01-13T19:15:23.353361,xgboost,us26,topology,yes,20,sumOfSlots,100.405,14.769,3.302,0.595,0.184,0.032,0.005,success,
2026-01-13T19:15:23.353393,xgboost,us26,topology,yes,20,avgActiveTransceivers,5.488,0.744,0.166,-0.23,0.201,0.027,0.004,success,
2026-01-13T19:15:41.249531,xgboost,us26,topology,no,20,highestSlot,22.978,3.369,0.753,-0.413,0.421,0.156,0.023,success,
2026-01-13T19:15:41.249605,xgboost,us26,topology,no,20,avgHighestSlot,6.104,1.116,0.25,-0.175,0.312,0.091,0.016,success,
2026-01-13T19:15:41.249645,xgboost,us26,topology,no,20,sumOfSlots,163.563,16.476,3.684,-0.011,0.201,0.052,0.005,success,
2026-01-13T19:15:41.249682,xgboost,us26,topology,no,20,avgActiveTransceivers,6.319,0.645,0.144,-0.51,0.294,0.031,0.003,success,
2026-01-13T19:16:14.313672,xgboost,us26,distribution,yes,20,highestSlot,19.61,2.158,0.483,-0.114,0.325,0.133,0.014,success,
2026-01-13T19:16:14.313764,xgboost,us26,distribution,yes,20,avgHighestSlot,4.429,0.693,0.155,0.505,0.086,0.067,0.01,success,
2026-01-13T19:16:14.313811,xgboost,us26,distribution,yes,20,sumOfSlots,66.741,12.527,2.801,0.84,0.055,0.021,0.004,success,
2026-01-13T19:16:14.313856,xgboost,us26,distribution,yes,20,avgActiveTransceivers,3.162,0.447,0.1,0.624,0.157,0.016,0.002,success,
2026-01-13T19:16:29.984263,xgboost,us26,distribution,no,20,highestSlot,23.293,3.811,0.852,-0.608,0.622,0.157,0.025,success,
2026-01-13T19:16:29.984336,xgboost,us26,distribution,no,20,avgHighestSlot,6.351,1.114,0.249,-0.212,0.237,0.095,0.016,success,
2026-01-13T19:16:29.984371,xgboost,us26,distribution,no,20,sumOfSlots,169.033,30.084,6.727,-0.057,0.277,0.054,0.009,success,
2026-01-13T19:16:29.984403,xgboost,us26,distribution,no,20,avgActiveTransceivers,3.224,0.46,0.103,0.601,0.192,0.016,0.002,success,
2026-01-13T19:16:54.605368,xgboost,us26,traffic,yes,20,highestSlot,19.929,1.952,0.436,-0.085,0.291,0.135,0.013,success,
2026-01-13T19:16:54.605441,xgboost,us26,traffic,yes,20,avgHighestSlot,4.103,0.635,0.142,0.556,0.085,0.062,0.009,success,
2026-01-13T19:16:54.605475,xgboost,us26,traffic,yes,20,sumOfSlots,90.413,12.969,2.9,0.714,0.094,0.029,0.004,success,
2026-01-13T19:16:54.605543,xgboost,us26,traffic,yes,20,avgActiveTransceivers,4.309,0.708,0.158,0.298,0.158,0.021,0.003,success,
2026-01-13T19:17:10.265233,xgboost,us26,traffic,no,20,highestSlot,21.596,3.053,0.683,-0.383,0.416,0.146,0.02,success,
2026-01-13T19:17:10.265307,xgboost,us26,traffic,no,20,avgHighestSlot,6.033,0.888,0.199,-0.057,0.146,0.091,0.013,success,
2026-01-13T19:17:10.265342,xgboost,us26,traffic,no,20,sumOfSlots,179.116,22.879,5.116,-0.156,0.234,0.057,0.007,success,
